id,mintime
1,120529
2,106970
3,106830
4,73948
5,56521
6,45673
7,38465
8,33292
9,30088
10,30053
11,26817
12,29101
13,28775
14,29116
15,29195
16,26345
17,29233
18,29295
19,29332
20,29377
21,26216
22,30102
23,29071
24,29218
25,29189
26,26149
27,29245
28,29107
29,29118
30,29106
31,26171
32,29117
33,29111
34,29114
35,29058
36,26126
37,29156
38,29202
39,29184
40,29143
41,26325
42,29103
43,29141
44,29029
45,29108
46,26242
47,29197
48,29185
49,29180
50,29164
51,26203
52,29142
53,29067
54,29029
55,29162
56,26061
57,29139
58,29176
59,29117
60,29235
61,25928
62,29112
63,29127
64,29194
65,29213
66,26185
67,29249
68,29243
69,29080
70,29177
71,29193
72,29231
73,31332
74,30054
75,29147
76,26112
77,29177
78,29170
79,29125
80,29124
81,26081
82,29059
83,29223
84,29324
85,29080
86,26381
87,29350
88,29115
89,29261
90,29196
91,26281
92,29173
93,29122
94,29125
95,29076
96,26323
97,29118
98,29002
99,29100
100,29303
