id,mintime
1,2063
2,2034
3,1664
4,8400
5,7563
6,113
7,175
8,1995
9,2030
10,173
11,125
12,1775
13,144
14,117
15,118
16,127
17,116
18,117
19,1355
20,195
21,1790
22,165
23,111
24,107
25,1711
26,100
27,100
28,1719
29,1715
30,1748
31,1747
32,1727
33,1650
34,1285
35,1611
36,1661
37,1647
38,1277
39,1643
40,1657
41,1658
42,1609
43,1645
44,163
45,6115
46,6153
47,6099
48,6137
49,6105
50,6052
51,168
52,6138
53,6116
54,6126
55,6102
56,6226
57,1206
58,1247
59,1666
60,1662
61,153
62,76
63,1659
64,1423
65,129
66,135
67,104
68,1703
69,1738
70,1332
71,6253
72,6399
73,6086
74,6063
75,1670
76,97
77,1670
78,152
79,1238
80,6039
81,6057
82,6075
83,6104
84,6084
85,6054
86,6103
87,6132
88,1348
89,1284
90,1677
91,76
92,6024
93,6058
94,1256
95,97
96,6093
97,142
98,1673
99,1665
100,154
101,6037
102,1339
103,1655
104,1648
105,1636
106,1640
107,1655
108,1638
109,1636
110,158
111,1250
112,150
113,157
114,5223
115,6190
116,6085
117,6026
118,6037
119,6068
120,155
121,1666
122,1555
123,159
124,147
125,6039
126,6114
127,6065
128,6211
129,6057
130,6311
131,6264
132,1242
133,1677
134,99
135,142
136,160
137,6426
138,1544
139,1701
140,1281
141,1662
142,1694
143,1632
144,1639
145,1619
146,1715
147,1635
148,1642
149,1699
150,1636
151,85
152,1374
153,6121
154,1249
155,6227
156,6072
157,148
158,6091
159,98
160,147
161,1665
162,1689
163,1683
164,1693
165,1645
166,1241
167,6033
168,6058
169,1196
170,5447
171,6068
172,144
173,1684
174,150
175,1624
176,1696
177,1681
178,1673
179,1679
180,1713
181,148
182,6109
183,6092
184,6039
185,155
186,6046
187,1207
188,6132
189,6124
190,147
191,6142
192,6217
193,162
194,106
195,1658
196,1674
197,147
198,1213
199,6027
200,6263
201,6121
202,6105
203,6053
204,6116
205,6111
206,6043
207,6022
208,1253
209,6107
210,5268
211,6106
212,165
213,6063
214,1237
215,1201
216,1635
217,1623
218,1669
219,1673
220,1665
221,1675
222,108
223,1355
224,1679
225,1357
226,1683
227,1628
228,1374
229,3914
230,219
231,1662
232,1637
233,1637
234,1657
235,198
236,1690
237,1689
238,1273
239,1620
240,96
241,1666
242,1721
243,1193
244,99
245,6212
246,6059
247,6070
248,6238
249,6190
250,1678
251,1667
252,1529
253,168
254,1452
255,1615
256,1676
257,1669
258,1675
259,109
260,1207
261,1640
262,1674
263,1617
264,1658
265,1682
266,1656
267,1606
268,1618
269,1679
270,118
271,1669
272,1660
273,1688
274,1694
275,1678
276,1662
277,176
278,6089
279,6165
280,6110
281,6057
282,6115
283,6142
284,6047
285,6108
286,208
287,1231
288,282
289,6071
290,6145
291,1361
292,1680
293,1663
294,1637
295,1664
296,220
297,1664
298,1665
299,1659
300,1686
301,1648
302,1689
303,1657
304,1249
305,6024
306,98
307,6226
308,1218
309,6211
310,1193
311,1703
312,1241
313,6068
314,6040
315,6270
316,6098
317,6074
318,6087
319,6107
320,6108
321,145
322,6105
323,1255
324,1631
325,1635
326,1614
327,1239
328,6064
329,6077
330,6062
331,1368
332,1701
333,1288
334,1678
335,1640
336,1703
337,94
338,1666
339,1697
340,1679
341,157
342,153
343,6244
344,6132
345,6314
346,6067
347,196
348,6096
349,6164
350,106
351,97
352,1649
353,1658
354,1651
355,1289
356,1638
357,1661
358,168
359,6023
360,6122
361,6084
362,1349
363,1641
364,1244
365,161
366,1692
367,1527
368,159
369,6038
370,6132
371,1209
372,6068
373,112
374,6087
375,6099
376,6240
377,6144
378,6081
379,6084
380,6087
381,152
382,6114
383,6072
384,6087
385,118
386,6099
387,6088
388,1171
389,1638
390,1687
391,1671
392,163
393,6099
394,1215
395,149
396,6184
397,6165
398,6101
399,6110
400,1220
401,179
402,6023
403,137
404,1634
405,101
406,1329
407,1690
408,101
409,1673
410,1699
411,1707
412,6074
413,1262
414,1690
415,1670
416,1676
417,1710
418,1685
419,1657
420,110
421,1172
422,150
423,5952
424,1159
425,1228
426,105
427,1653
428,141
429,6056
430,6024
431,6303
432,5434
433,1194
434,132
435,6045
436,6082
437,1369
438,1629
439,1647
440,1340
441,141
442,6155
443,1231
444,6090
445,93
446,6249
447,108
448,1678
449,1668
450,1671
451,1673
452,5211
453,149
454,1773
455,6183
456,6121
457,6250
458,6063
459,6102
460,6118
461,153
462,117
463,1403
464,1636
465,1620
466,1645
467,1643
468,1681
469,1657
470,142
471,6219
472,6185
473,6234
474,6096
475,342
476,1648
477,1661
478,123
479,6055
480,6119
481,6210
482,1233
483,1180
484,6138
485,1233
486,156
487,6057
488,1230
489,137
490,1625
491,1659
492,1674
493,136
494,1257
495,158
496,108
497,6086
498,152
499,6134
500,6094
501,1205
502,1211
503,1607
504,160
505,1603
506,2485
507,6059
508,6138
509,6141
510,6102
511,5243
512,6094
513,6103
514,6043
515,6094
516,5222
517,6145
518,6174
519,6064
520,6049
521,6038
522,6128
523,6076
524,116
525,154
526,1155
527,1214
528,148
529,6158
530,6075
531,6102
532,6060
533,6074
534,6088
535,6190
536,106
537,1656
538,1652
539,1660
540,1655
541,89
542,1662
543,1661
544,1666
545,1627
546,1250
547,1665
548,1643
549,1671
550,1609
551,1671
552,1696
553,1630
554,1670
555,1666
556,1467
557,113
558,114
559,6232
560,1686
561,1677
562,1627
563,1640
564,1272
565,1661
566,1641
567,1663
568,153
569,148
570,118
571,1656
572,6090
573,6215
574,6128
575,6270
576,6110
577,1224
578,6163
579,146
580,6143
581,155
582,6023
583,6043
584,6016
585,6279
586,6283
587,6090
588,1227
589,6155
590,6165
591,146
592,6163
593,6061
594,6098
595,6077
596,6131
597,6200
598,208
599,6112
600,6137
601,6133
602,6116
603,6110
604,102
605,6132
606,107
607,1678
608,1670
609,1658
610,154
611,1204
612,6025
613,6151
614,6342
615,155
616,1251
617,1653
618,1652
619,1682
620,102
621,1226
622,1233
623,6214
624,6083
625,6144
626,6274
627,4935
628,6096
629,6149
630,155
631,1653
632,1654
633,1640
634,1622
635,150
636,1234
637,1676
638,1688
639,1652
640,146
641,1229
642,1317
643,1686
644,1678
645,1675
646,99
647,92
648,95
649,91
650,94
651,98
652,1697
653,1687
654,1526
655,104
656,1683
657,152
658,134
659,6248
660,6297
661,6271
662,143
663,1387
664,6122
665,97
666,1656
667,1663
668,1634
669,1671
670,1670
671,90
672,139
673,1226
674,6210
675,6145
676,6237
677,139
678,6246
679,6145
680,149
681,131
682,6145
683,5122
684,6118
685,6210
686,6140
687,1189
688,146
689,136
690,6105
691,6087
692,6131
693,6164
694,1669
695,103
696,99
697,1639
698,1554
699,1195
700,6154
701,6248
702,4925
703,6150
704,1201
705,6111
706,6277
707,6176
708,6067
709,151
710,1639
711,1658
712,1271
713,1656
714,1643
715,1233
716,155
717,6050
718,6156
719,6047
720,6051
721,6187
722,6024
723,6158
724,6044
725,153
726,1634
727,160
728,1210
729,1676
730,1611
731,152
732,166
733,1193
734,6063
735,5964
736,1186
737,1333
738,1626
739,1650
740,1641
741,1637
742,1614
743,1655
744,1670
745,1653
746,103
747,98
748,1617
749,1402
750,6101
751,5966
752,6090
753,6016
754,6048
755,98
756,1636
757,1620
758,136
759,1195
760,6239
761,6061
762,6004
763,6083
764,6020
765,1225
766,6089
767,6049
768,6090
769,6098
770,6087
771,1198
772,1604
773,1617
774,103
775,1650
776,170
777,1681
778,1614
779,1640
780,1639
781,1174
782,6085
783,6098
784,1238
785,1631
786,1544
787,1655
788,1656
789,1328
790,115
791,1234
792,1514
793,1641
794,1633
795,1608
796,150
797,6069
798,140
799,1646
800,1696
801,1686
802,1675
803,1665
804,1669
805,1693
806,1643
807,1668
808,135
809,1626
810,1664
811,1658
812,1642
813,1649
814,1627
815,152
816,1191
817,6051
818,6073
819,133
820,1197
821,6260
822,150
823,135
824,1187
825,1658
826,1618
827,1656
828,1670
829,1256
830,6228
831,6065
832,2437
833,104
834,1620
835,117
836,1647
837,1642
838,1615
839,117
840,6075
841,6268
842,6040
843,1236
844,1624
845,1610
846,1666
847,147
848,1654
849,1644
850,103
851,1322
852,6127
853,6048
854,6044
855,6220
856,6104
857,6091
858,1266
859,1646
860,1688
861,1643
862,1341
863,6110
864,6116
865,1229
866,97
867,1694
868,1257
869,1227
870,6093
871,5978
872,6118
873,6182
874,6061
875,6032
876,1236
877,1233
878,1616
879,1611
880,1686
881,151
882,6077
883,1491
884,91
885,6020
886,6100
887,1248
888,1676
889,6053
890,1262
891,1243
892,207
893,1647
894,162
895,1630
896,100
897,6266
898,100
899,145
900,1229
901,6262
902,6110
903,1435
904,1684
905,1669
906,6031
907,6063
908,99
909,1210
910,6022
911,6034
912,6067
913,6082
914,6276
915,6120
916,6143
917,6162
918,6059
919,1202
920,6042
921,165
922,6082
923,6073
924,216
925,1185
926,6192
927,181
928,116
929,103
930,1647
931,1264
932,104
933,93
934,1144
935,113
936,1609
937,1274
938,1257
939,1650
940,1618
941,1657
942,1654
943,1571
944,1617
945,1632
946,1228
947,1605
948,6070
949,6211
950,6108
951,1191
952,1676
953,154
954,6236
955,6062
956,6189
957,6186
958,6150
959,142
960,6083
961,6099
962,6089
963,6068
964,6043
965,107
966,4703
967,6266
968,6098
969,6188
970,6094
971,1232
972,6063
973,6017
974,6077
975,6081
976,6093
977,6461
978,6089
979,6040
980,6003
981,6063
982,6064
983,1331
984,1608
985,146
986,1668
987,107
988,1226
989,6044
990,165
991,1305
992,1634
993,1681
994,1305
995,1673
996,106
997,1270
998,1344
999,1214
1000,6131
