id,mintime
1,18083
2,18179
3,18218
4,18311
5,18283
6,18160
7,18348
8,18350
9,18048
10,18084
11,18081
12,18236
13,18182
14,18187
15,18155
16,18092
17,18185
18,18166
19,18111
20,17850
21,18003
22,18198
23,18121
24,17967
25,17953
26,17916
27,18142
28,17168
29,17098
30,16928
31,16901
32,17024
33,16992
34,16971
35,17124
36,16863
37,16871
38,16979
39,16987
40,16912
41,16902
42,16879
43,17082
44,16854
45,16832
46,16872
47,16981
48,16952
49,16910
50,16966
51,16904
52,16960
53,17012
54,16936
55,16943
56,16896
57,16903
58,16966
59,17810
60,17810
61,17728
62,17236
63,17251
64,17206
65,17308
66,17233
67,17293
68,17316
69,17288
70,17302
71,17211
72,17162
73,17090
74,17169
75,17150
76,17173
77,17156
78,17006
79,17083
80,17101
81,16993
82,17101
83,17137
84,17262
85,17223
86,17162
87,17203
88,17141
89,17098
90,17018
91,17031
92,17130
93,17060
94,17069
95,17111
96,17122
97,17172
98,17208
99,17213
100,17137
101,16977
102,17165
103,17105
104,17081
105,17022
106,16986
107,17036
108,16963
109,16939
110,17065
111,17072
112,17092
113,16811
114,16673
115,16795
116,17226
117,17294
118,17291
119,17285
120,17150
121,16840
122,17018
123,17006
124,16993
125,16986
126,16993
127,17075
128,16942
129,17033
130,16956
131,16925
132,17083
133,16949
134,17012
135,16990
136,17015
137,17001
138,17054
139,17105
140,16923
141,16959
142,17010
143,16864
144,16957
145,16870
146,16895
147,17036
148,16984
149,17065
150,17067
151,16978
152,17038
153,16989
154,16934
155,16965
156,16848
157,16971
158,16976
159,16881
160,17020
161,17000
162,17042
163,16953
164,16901
165,16909
166,17108
167,17215
168,17447
169,17144
170,17233
171,17154
172,17242
173,17278
174,17138
175,17241
176,17916
177,17641
178,17647
179,17738
180,17759
181,17694
182,17790
183,17634
184,17554
185,17465
186,17526
187,17531
188,17669
189,17637
190,17549
191,17558
192,17598
193,17549
194,17506
195,17530
196,17625
197,16997
198,17126
199,16996
200,16865
201,16988
202,17000
203,17047
204,16998
205,17048
206,17043
207,16984
208,17884
209,17299
210,17165
211,17101
212,17036
213,17121
214,17156
215,17321
216,17188
217,17141
218,17123
219,17947
220,17752
221,17788
222,18221
223,18256
224,18374
225,18299
226,18249
227,18134
228,18203
229,18159
230,18172
231,18117
232,18101
233,18117
234,18161
235,18080
236,18201
237,18211
238,18308
239,18284
240,18223
241,18263
242,18320
243,18298
244,18291
245,18165
246,18270
247,18315
248,18299
249,18275
250,18243
251,18119
252,18342
253,18214
254,18053
255,18056
256,16803
257,16873
258,16909
259,17010
260,16875
261,16972
262,16906
263,16920
264,16930
265,16987
266,16909
267,16803
268,16925
269,16919
270,16910
271,16854
272,16883
273,16928
274,17022
275,17222
276,17167
277,17168
278,17085
279,17125
280,17209
281,17153
282,17127
283,17115
284,17894
285,17708
286,17802
287,17158
288,17190
289,17222
290,17273
291,16939
292,17022
293,16954
294,17086
295,17037
296,17029
297,16997
298,17225
299,17053
300,17106
301,17204
302,17219
303,17161
304,17080
305,17098
306,17079
307,17089
308,17010
309,16974
310,16895
311,16934
312,16911
313,16928
314,16934
315,17104
316,16912
317,16991
318,16975
319,16961
320,17043
321,16986
322,17188
323,17943
324,17625
325,17674
326,17265
327,17141
328,17204
329,17364
330,25677
331,25681
332,25636
333,25574
334,25650
335,25579
336,25593
337,25424
338,24293
339,24199
340,24113
341,24176
342,24228
343,24159
344,24082
345,24066
346,24052
347,24011
348,17468
349,17382
350,17162
351,17165
352,17182
353,17176
354,17342
355,17102
356,17006
357,17040
358,17152
359,17109
360,16969
361,17057
362,17994
363,17966
364,17367
365,17453
366,17843
