id,mintime
1,259
2,253
3,259
4,260
5,260
6,245
7,237
8,289
9,290
10,289
11,287
12,289
13,291
14,290
15,290
16,256
17,290
18,287
19,291
20,290
21,290
22,289
23,289
24,288
25,268
26,289
27,288
28,289
29,290
30,232
31,281
32,287
33,287
34,288
35,288
36,260
37,288
38,289
39,258
40,288
41,290
42,290
43,262
44,287
45,259
46,288
47,287
48,287
49,287
50,288
51,287
52,287
53,288
54,258
55,261
56,261
57,262
58,261
59,261
60,261
61,263
62,261
63,258
64,261
65,261
66,261
67,261
68,261
69,258
70,261
71,256
72,256
73,261
74,260
75,244
76,301
77,259
78,260
79,253
80,257
81,261
82,260
83,260
84,261
85,256
86,252
87,260
88,256
89,260
90,261
91,261
92,256
93,261
94,260
95,260
96,253
97,256
98,270
99,287
100,262
101,291
102,259
103,262
104,290
105,291
106,292
107,290
108,290
109,291
110,291
111,289
112,291
113,291
114,290
115,290
116,291
117,291
118,291
119,290
120,290
121,290
122,242
123,244
124,292
125,290
126,291
127,293
128,292
129,290
130,290
131,291
132,292
133,292
134,291
135,290
136,289
137,292
138,293
139,293
140,293
141,293
142,262
143,291
144,293
145,292
146,289
147,257
148,256
149,255
150,256
151,256
152,240
153,236
154,254
155,250
156,251
157,249
158,254
159,248
160,254
161,249
162,249
163,248
164,248
165,249
166,250
167,255
168,254
169,255
170,250
171,282
172,292
173,292
174,292
175,292
176,292
177,291
178,291
179,292
180,291
181,292
182,292
183,292
184,292
185,292
186,292
187,292
188,291
189,292
190,263
191,291
192,290
193,291
194,244
195,242
196,261
197,266
198,269
199,268
200,269
201,269
202,269
203,270
204,271
205,268
206,268
207,269
208,260
209,269
210,267
211,268
212,267
213,268
214,269
215,251
216,266
217,268
218,269
219,240
220,245
221,230
222,258
223,229
224,257
225,258
226,252
227,261
228,215
229,258
230,232
231,261
232,280
233,254
234,254
235,260
236,263
237,258
238,259
239,264
240,257
241,288
242,264
243,268
244,259
245,261
246,229
247,265
248,266
249,265
250,265
251,263
252,267
253,261
254,264
255,266
256,263
257,265
258,265
259,266
260,266
261,266
262,265
263,264
264,266
265,265
266,265
267,266
268,265
269,265
270,265
271,266
272,276
273,277
274,236
275,237
276,236
277,236
278,244
279,263
280,258
281,257
282,252
283,253
284,219
285,278
286,277
287,282
288,274
289,237
290,289
291,259
292,290
293,290
294,289
295,267
296,290
297,272
298,263
299,268
300,287
301,287
302,288
303,287
304,286
305,286
306,286
307,288
308,288
309,287
310,287
311,286
312,287
313,287
314,287
315,264
316,287
317,287
318,258
319,273
320,291
321,285
322,284
323,259
324,289
325,288
326,258
327,288
328,260
329,288
330,288
331,288
332,288
333,258
334,288
335,289
336,288
337,289
338,259
339,289
340,258
341,289
342,288
343,288
344,288
345,272
346,270
347,261
348,264
349,291
350,290
351,262
352,290
353,292
354,291
355,263
356,264
357,291
358,262
359,292
360,290
361,260
362,291
363,291
364,292
365,244
366,238
367,260
368,261
369,261
370,260
371,260
372,261
373,261
374,261
375,261
376,261
377,255
378,261
379,261
380,261
381,261
382,260
383,261
384,260
385,261
386,261
387,261
388,261
389,253
390,243
391,261
392,261
393,262
394,262
395,262
396,261
397,262
398,261
399,261
400,256
401,261
402,258
403,257
404,256
405,260
406,256
407,261
408,253
409,255
410,255
411,254
412,242
413,244
414,287
415,290
416,290
417,289
418,270
419,287
420,288
421,261
422,288
423,287
424,287
425,287
426,287
427,287
428,288
429,287
430,289
431,260
432,289
433,258
434,258
435,257
436,258
437,258
438,250
439,260
440,258
441,259
442,257
443,260
444,259
445,254
446,260
447,259
448,258
449,259
450,259
451,254
452,260
453,261
454,258
455,261
456,254
457,256
458,259
459,260
460,261
461,262
462,261
463,262
464,253
465,262
466,259
467,259
468,258
469,258
470,258
471,261
472,258
473,261
474,260
475,259
476,261
477,259
478,257
479,258
480,261
481,258
482,258
483,248
484,244
485,257
486,261
487,271
488,266
489,267
490,266
491,268
492,292
493,290
494,291
495,262
496,262
497,262
498,261
499,292
500,291
501,291
502,291
503,261
504,243
505,272
506,260
507,262
508,260
509,259
510,254
511,260
512,259
513,263
514,261
515,259
516,263
517,262
518,262
519,261
520,255
521,254
522,261
523,259
524,260
525,263
526,260
527,260
528,263
529,263
530,262
531,260
532,262
533,262
534,262
535,261
536,261
537,253
538,262
539,261
540,261
541,262
542,261
543,262
544,261
545,262
546,261
547,263
548,262
549,262
550,260
551,232
552,239
553,258
554,259
555,255
556,257
557,260
558,258
559,259
560,257
561,252
562,238
563,263
564,270
565,269
566,268
567,267
568,264
569,268
570,243
571,245
572,265
573,267
574,267
575,265
576,268
577,268
578,267
579,268
580,265
581,260
582,268
583,269
584,229
585,239
586,249
587,265
588,268
589,279
590,279
591,246
592,258
593,256
594,255
595,255
596,258
597,258
598,232
599,265
600,253
601,247
602,255
603,254
604,255
605,254
606,258
607,254
608,256
609,255
610,256
611,255
612,254
613,256
614,254
615,244
616,289
617,290
618,288
619,288
620,289
621,290
