id, mintime
1,384
2,382
3,384
4,384
5,384
6,384
7,382
8,384
9,384
10,384
11,389
12,386
13,384
14,202
15,196
16,191
17,375
18,383
19,378
20,185
21,386
22,385
23,382
24,387
25,383
26,188
27,384
28,388
29,385
30,200
31,214
32,212
33,269
34,375
35,376
36,386
37,385
38,385
39,190
40,387
41,389
42,380
43,401
44,190
45,184
46,182
47,251
48,379
49,379
50,385
51,303
52,384
53,385
54,383
55,376
56,377
57,386
58,183
59,181
60,377
61,382
62,381
63,378
64,381
65,378
66,384
67,384
68,386
69,392
70,385
71,192
72,387
73,383
74,389
75,381
76,379
77,383
78,190
79,384
80,380
81,382
82,379
83,380
84,281
85,382
86,379
87,381
88,382
89,384
90,252
91,372
92,378
93,183
94,182
95,191
96,208
97,199
98,218
99,191
100,385
