id,mintime
1,24718
2,24861
3,27920
4,27874
5,27921
6,27970
7,28036
8,28066
9,28065
10,28037
11,28023
12,28048
13,28031
14,28034
15,27971
16,28008
17,28037
18,27910
19,27964
20,28065
21,28041
22,28002
23,28045
24,24115
25,24112
26,21125
27,21084
28,20218
29,20244
30,20332
31,20332
32,21075
33,21110
34,21076
35,21000
36,20275
37,20249
38,20450
39,20446
40,20479
41,20440
42,20464
43,20526
44,20483
45,20467
46,20489
47,20418
48,20125
49,20207
50,20431
51,20448
52,20675
53,21333
54,20658
55,20142
56,20442
57,20450
58,20459
59,20432
60,20255
61,20134
62,20406
63,20382
64,20391
65,21061
66,21078
67,21011
68,20493
69,20269
70,20226
71,20431
72,20467
73,20173
74,20461
75,20386
76,20425
77,20482
78,20264
79,20520
80,20431
81,20133
82,20243
83,21064
84,20988
85,21099
86,22036
87,20480
88,20457
89,20448
90,20449
91,20335
92,20355
93,20425
94,20939
95,20932
96,20507
97,20402
98,20413
99,20421
100,20399
