id,mintime
1,22259
2,22338
3,22227
4,22474
5,22228
6,22263
7,22173
8,22409
9,22467
10,21433
11,22277
12,22284
13,22384
14,22273
15,22271
16,22184
17,22192
18,22289
19,22226
20,22164
21,22412
22,22441
23,19191
24,19204
25,16854
26,16822
27,16905
28,16935
29,16848
30,16892
31,16897
32,16817
33,16869
34,16922
35,17268
36,17036
37,17084
38,17097
39,16915
40,16911
41,16942
42,16941
43,16885
44,16927
45,16944
46,16954
47,16977
48,17177
49,17685
50,17708
51,17611
52,17597
53,17443
54,17544
55,17551
56,17550
57,17510
58,17463
59,17455
60,17419
61,17617
62,17420
63,17444
64,17474
65,17381
66,17445
67,17398
68,17379
69,17529
70,17447
71,17395
72,17419
73,24288
74,24317
75,24384
76,24298
77,24336
78,24325
79,24238
80,24262
81,24295
82,17118
83,17053
84,17173
85,17123
86,16923
87,17026
88,16929
89,16877
90,16834
91,16859
92,16894
93,16993
94,16892
95,16924
96,16954
97,16949
98,16999
99,16915
100,16842
